video,size[kb],exec_time[s],model_load[s]
output8.ts,8307908,213.11190128326416,0.3379189968109131
output1.ts,5095740,219.322407245636,0.27417635917663574
output7.ts,8027976,219.18933391571045,0.6115846633911133
output23.ts,5042724,214.92754220962524,0.25017404556274414
output22.ts,4866756,207.3325276374817,0.25184154510498047
output29.ts,6691296,210.40503978729248,0.21289324760437012
output24.ts,5454444,208.06114673614502,0.18826889991760254
output12.ts,8384424,203.74183654785156,0.19694805145263672
output28.ts,6103044,199.47586059570312,0.19079375267028809
output18.ts,3497928,205.04086017608643,0.18919134140014648
output20.ts,4647736,207.094144821167,0.19405603408813477
output17.ts,3526128,197.59410619735718,0.19702625274658203
output27.ts,6162828,201.7276406288147,0.1916954517364502
output19.ts,3990112,203.63292694091797,0.19632887840270996
output21.ts,4236392,202.56447792053223,0.196122407913208
output10.ts,8562272,195.49095630645752,0.1944725513458252
output5.ts,6972920,206.964373588562,0.19558382034301758
output16.ts,4495832,198.85140657424927,0.20131516456604004
output4.ts,5974076,207.25080966949463,0.20195794105529785
output15.ts,10896480,214.6109104156494,0.20234203338623047
output9.ts,8634464,212.79042959213257,0.2683432102203369
output6.ts,7490108,216.19795560836792,0.21724200248718262
output11.ts,8662288,213.5182023048401,0.1967298984527588
output13.ts,10118536,210.03379821777344,0.259371280670166
output25.ts,5734564,215.313458442688,0.23648452758789062
output2.ts,5244072,213.94938230514526,0.2749176025390625
output26.ts,5520808,208.52866172790527,0.21692276000976562
output14.ts,10756984,217.92526245117188,0.26330018043518066
