video,size[kb],exec_time[s],model_load[s]
output17.ts,3526128,138.7047290802002,0.3403282165527344
output15.ts,10896480,140.35882949829102,0.33463239669799805
output23.ts,5042724,138.09961080551147,0.2949249744415283
output26.ts,5520808,140.5261993408203,0.3360931873321533
output28.ts,6103044,138.46055269241333,0.32535529136657715
output21.ts,4236392,140.01716375350952,0.7316007614135742
output12.ts,8384424,139.67918157577515,0.28027892112731934
output1.ts,5095740,140.50827026367188,0.3098118305206299
output13.ts,10118536,140.9155249595642,0.30636143684387207
output22.ts,4866756,139.64500427246094,0.3068418502807617
output10.ts,8562272,138.35620880126953,0.32327914237976074
output2.ts,5244072,138.323175907135,0.28792452812194824
output5.ts,6972920,140.51954746246338,0.3058035373687744
output9.ts,8634464,139.77694511413574,0.32126355171203613
output18.ts,3497928,139.36372995376587,0.30396413803100586
output27.ts,6162828,138.9022946357727,0.30889344215393066
output8.ts,8307908,139.5251989364624,0.31140637397766113
output25.ts,5734564,139.59457874298096,0.2959437370300293
output29.ts,6691296,139.97677564620972,0.3049616813659668
output11.ts,8662288,140.57588577270508,1.5725138187408447
output20.ts,4647736,140.0018334388733,0.2840094566345215
output24.ts,5454444,139.2204999923706,0.2918050289154053
output7.ts,8027976,139.8633360862732,0.30756163597106934
output4.ts,5974076,140.41672945022583,0.2952909469604492
output14.ts,10756984,140.01691341400146,0.299849271774292
output16.ts,4495832,139.78148698806763,0.2890920639038086
output19.ts,3990112,138.96268606185913,0.3122406005859375
output6.ts,7490108,139.82601165771484,0.3023526668548584
