video,size[kb],exec_time[s],model_load[s]
output8.ts,8307908,153.24963331222534,0.29291391372680664
output1.ts,5095740,149.7693657875061,0.2567329406738281
output7.ts,8027976,152.8735876083374,0.4369208812713623
output23.ts,5042724,158.37851762771606,0.2317342758178711
output22.ts,4866756,153.71943712234497,0.21529793739318848
output29.ts,6691296,156.8834662437439,0.24104809761047363
output24.ts,5454444,155.4531216621399,0.2001662254333496
output12.ts,8384424,156.45734071731567,0.20410966873168945
output28.ts,6103044,151.89859867095947,0.21093177795410156
output18.ts,3497928,148.9771604537964,0.19819021224975586
output20.ts,4647736,153.3227562904358,0.1907057762145996
output17.ts,3526128,150.9367823600769,0.19754767417907715
output27.ts,6162828,151.27891302108765,0.22279667854309082
output19.ts,3990112,152.66917943954468,0.19753026962280273
output21.ts,4236392,154.0483832359314,0.18397855758666992
output10.ts,8562272,152.30954885482788,0.1881873607635498
output5.ts,6972920,156.66780471801758,0.18947863578796387
output16.ts,4495832,151.26469135284424,0.1935102939605713
output4.ts,5974076,150.3888726234436,0.19108080863952637
output15.ts,10896480,154.26572561264038,0.19288325309753418
output9.ts,8634464,150.5155324935913,0.21412134170532227
output6.ts,7490108,153.8490891456604,0.19557952880859375
output11.ts,8662288,151.78463459014893,0.19245004653930664
output13.ts,10118536,150.72999000549316,0.1908245086669922
output25.ts,5734564,150.97094774246216,0.19040989875793457
output2.ts,5244072,151.98582410812378,0.19448399543762207
output26.ts,5520808,153.98378372192383,0.18926310539245605
output14.ts,10756984,151.4049768447876,0.1901566982269287
