video,size[kb],exec_time[s],model_load[s]
output17.ts,3526128,145.7719922065735,0.22807598114013672
output15.ts,10896480,145.67323923110962,0.21048784255981445
output23.ts,5042724,145.09592056274414,0.21992063522338867
output26.ts,5520808,144.7463035583496,0.20685672760009766
output28.ts,6103044,151.55820846557617,0.2094278335571289
output21.ts,4236392,144.15782690048218,0.6092259883880615
output12.ts,8384424,145.68393230438232,0.20633149147033691
output1.ts,5095740,146.26705646514893,0.21068382263183594
output13.ts,10118536,145.81701755523682,0.2110133171081543
output22.ts,4866756,147.18353748321533,0.22164583206176758
output10.ts,8562272,144.05709505081177,0.22363638877868652
output2.ts,5244072,146.07969522476196,0.21747803688049316
output5.ts,6972920,145.29356956481934,0.2127077579498291
output9.ts,8634464,144.40430402755737,0.2170274257659912
output18.ts,3497928,145.8348512649536,0.21388649940490723
output27.ts,6162828,145.14895677566528,0.21620392799377441
output8.ts,8307908,147.4076509475708,0.21777963638305664
output25.ts,5734564,144.30115222930908,0.21906137466430664
output29.ts,6691296,144.6641206741333,0.22692060470581055
output11.ts,8662288,145.92397212982178,1.435837745666504
output20.ts,4647736,146.18152379989624,0.21149945259094238
output24.ts,5454444,146.31866216659546,0.21635103225708008
output7.ts,8027976,145.0677990913391,0.20921850204467773
output4.ts,5974076,146.5124249458313,0.20938754081726074
output14.ts,10756984,145.366632938385,0.21281814575195312
output16.ts,4495832,144.86041069030762,0.21006298065185547
output19.ts,3990112,144.7627067565918,0.20999598503112793
output6.ts,7490108,144.35676336288452,0.21045947074890137
