video,size[kb],exec_time[s],model_load[s]
output8.ts,8307908,222.82978296279907,0.2769906520843506
output1.ts,5095740,229.6341061592102,0.2332155704498291
output7.ts,8027976,226.09244585037231,0.38799142837524414
output23.ts,5042724,224.91154670715332,0.19325828552246094
output22.ts,4866756,221.86996936798096,0.18609309196472168
output29.ts,6691296,223.54788780212402,0.18835043907165527
output24.ts,5454444,219.42435503005981,0.18957877159118652
output12.ts,8384424,226.26721858978271,0.19396352767944336
output28.ts,6103044,218.6514139175415,0.18888425827026367
output18.ts,3497928,222.28296995162964,0.19194316864013672
output20.ts,4647736,218.18039417266846,0.18616938591003418
output17.ts,3526128,219.25830841064453,0.19081830978393555
output27.ts,6162828,222.06496000289917,0.19367241859436035
output19.ts,3990112,219.42131519317627,0.24596023559570312
output21.ts,4236392,219.4401741027832,0.1945030689239502
output10.ts,8562272,219.68259811401367,0.19339585304260254
output5.ts,6972920,219.61623430252075,0.1952223777770996
output16.ts,4495832,224.3191123008728,0.19389843940734863
output4.ts,5974076,230.85970878601074,0.17854952812194824
output15.ts,10896480,221.08111381530762,0.1892225742340088
output9.ts,8634464,222.3950982093811,0.19133496284484863
output6.ts,7490108,232.16185569763184,0.19461941719055176
output11.ts,8662288,220.67618370056152,0.20282793045043945
output13.ts,10118536,222.9488730430603,0.1846778392791748
output25.ts,5734564,219.27286386489868,0.19595122337341309
output2.ts,5244072,221.50851488113403,0.23220443725585938
output26.ts,5520808,221.31274938583374,0.28585147857666016
output14.ts,10756984,222.05276489257812,0.2967696189880371
