video,size[kb],exec_time[s],model_load[s]
output17.ts,3526128,212.58758306503296,0.24428391456604004
output15.ts,10896480,192.01990365982056,0.25026869773864746
output23.ts,5042724,191.60748720169067,0.24062275886535645
output26.ts,5520808,193.57378482818604,0.23130369186401367
output28.ts,6103044,205.38569688796997,0.2276155948638916
output21.ts,4236392,184.3644618988037,0.7099153995513916
output12.ts,8384424,202.32495069503784,0.23214173316955566
output1.ts,5095740,182.69124031066895,0.24075889587402344
output13.ts,10118536,198.83434772491455,0.23143672943115234
output22.ts,4866756,186.16161346435547,0.23245453834533691
output10.ts,8562272,186.38664484024048,0.2438516616821289
output2.ts,5244072,184.678053855896,0.24627971649169922
output5.ts,6972920,182.26033449172974,0.21747374534606934
output9.ts,8634464,183.48592519760132,0.23361897468566895
output18.ts,3497928,183.44801664352417,0.22810626029968262
output27.ts,6162828,182.35220909118652,0.21780848503112793
output8.ts,8307908,184.9340558052063,0.22914433479309082
output25.ts,5734564,180.6602120399475,0.21679306030273438
output29.ts,6691296,183.8944673538208,0.2192692756652832
output11.ts,8662288,189.9761438369751,1.5860352516174316
output20.ts,4647736,184.75308418273926,0.2300128936767578
output24.ts,5454444,182.77857303619385,0.2239360809326172
output7.ts,8027976,199.80183839797974,0.22779417037963867
output4.ts,5974076,188.00158500671387,0.22545242309570312
output14.ts,10756984,180.2563190460205,0.22376251220703125
output16.ts,4495832,183.05976390838623,0.21440410614013672
output19.ts,3990112,181.94392919540405,0.21632957458496094
output6.ts,7490108,185.9469771385193,0.2501957416534424
