video,size[kb],exec_time[s],model_load[s]
output17.ts,3526128,125.63539743423463,0.3441319465637207
output15.ts,10896480,126.63255929946898,0.2980809211730957
output23.ts,5042724,126.76546573638916,0.26019978523254395
output26.ts,5520808,127.5293231010437,0.30185484886169434
output28.ts,6103044,128.98664474487305,0.25302886962890625
output21.ts,4236392,127.76771783828735,0.6936478614807129
output12.ts,8384424,126.54573917388917,0.27687525749206543
output1.ts,5095740,126.9579529762268,0.24038028717041016
output13.ts,10118536,126.88618898391724,0.2535223960876465
output22.ts,4866756,128.1129240989685,0.2704339027404785
output10.ts,8562272,128.34460735321045,0.2565467357635498
output2.ts,5244072,127.26714611053467,0.2380211353302002
output5.ts,6972920,127.2261619567871,0.2597825527191162
output9.ts,8634464,127.03651189804077,0.29093503952026367
output18.ts,3497928,125.44772624969482,0.2727396488189697
output27.ts,6162828,128.02867889404297,0.26129913330078125
output8.ts,8307908,126.80180072784425,0.2610461711883545
output25.ts,5734564,126.55667066574097,0.2709004878997803
output29.ts,6691296,127.59112119674681,0.27119898796081543
output11.ts,8662288,126.73146724700929,1.4256117343902588
output20.ts,4647736,126.13165378570557,0.2530827522277832
output24.ts,5454444,125.62065124511717,0.2694718837738037
output7.ts,8027976,126.55086517333986,0.2757072448730469
output4.ts,5974076,127.1382212638855,0.27460527420043945
output14.ts,10756984,126.58402919769287,0.23619461059570312
output16.ts,4495832,127.0228385925293,0.24394655227661133
output19.ts,3990112,126.4719009399414,0.26775646209716797
output6.ts,7490108,126.62030458450319,0.2772543430328369
