video,size[kb],exec_time[s],model_load[s]
output8.ts,8307908,175.92995166778564,0.33248305320739746
output1.ts,5095740,171.04936838150024,0.21639561653137207
output7.ts,8027976,172.97728061676025,0.4372141361236572
output23.ts,5042724,169.84328031539917,0.2056434154510498
output22.ts,4866756,168.82243156433105,0.20285677909851074
output29.ts,6691296,170.1878786087036,0.1983945369720459
output24.ts,5454444,174.2326259613037,0.1955716609954834
output12.ts,8384424,169.3319320678711,0.2038867473602295
output28.ts,6103044,170.00812292099,0.20926976203918457
output18.ts,3497928,174.08372163772583,0.19395089149475098
output20.ts,4647736,169.22720670700073,0.18976497650146484
output17.ts,3526128,173.25376272201538,0.19430041313171387
output27.ts,6162828,167.5001859664917,0.19132590293884277
output19.ts,3990112,170.30701637268066,0.19414949417114258
output21.ts,4236392,171.04593515396118,0.19547700881958008
output10.ts,8562272,169.33974027633667,0.19549083709716797
output5.ts,6972920,170.74291706085205,0.1962752342224121
output16.ts,4495832,168.49074363708496,0.196044921875
output4.ts,5974076,167.76297092437744,0.19515609741210938
output15.ts,10896480,166.85118675231934,0.19966602325439453
output9.ts,8634464,167.66003370285034,0.19904088973999023
output6.ts,7490108,170.32546997070312,0.18935585021972656
output11.ts,8662288,172.50841856002808,0.1959521770477295
output13.ts,10118536,168.91425848007202,0.19061923027038574
output25.ts,5734564,170.9179401397705,0.20363116264343262
output2.ts,5244072,169.78516578674316,0.20978188514709473
output26.ts,5520808,169.49790716171265,0.3054373264312744
output14.ts,10756984,174.09948110580444,0.3575460910797119
