video,size[kb],exec_time[s],model_load[s]
output8.ts,8307908,215.6713366508484,0.28873586654663086
output1.ts,5095740,208.9053988456726,0.19642853736877441
output7.ts,8027976,185.41712760925293,0.19498109817504883
output23.ts,5042724,188.7568712234497,0.18761849403381348
output22.ts,4866756,195.862877368927,0.18985342979431152
output29.ts,6691296,194.9900507926941,0.2645854949951172
output24.ts,5454444,207.6512336730957,0.20658540725708008
output12.ts,8384424,210.21534204483032,0.1973106861114502
output28.ts,6103044,254.88673448562622,0.18665027618408203
output18.ts,3497928,212.49417066574097,0.2635610103607178
output20.ts,4647736,209.85547304153442,0.2201383113861084
output17.ts,3526128,210.84169149398804,0.1909935474395752
output27.ts,6162828,212.81797885894775,0.19246459007263184
output19.ts,3990112,214.99545574188232,0.2490842342376709
output21.ts,4236392,211.2550973892212,0.20668482780456543
output10.ts,8562272,212.01870441436768,0.1934037208557129
output5.ts,6972920,210.79026460647583,0.19623875617980957
output16.ts,4495832,210.735285282135,0.26344871520996094
output4.ts,5974076,208.30330848693848,0.2583026885986328
output15.ts,10896480,209.33595895767212,0.21229100227355957
output9.ts,8634464,210.26971340179443,0.260174036026001
output6.ts,7490108,210.83407402038574,0.20443987846374512
output11.ts,8662288,208.3648681640625,0.24284791946411133
output13.ts,10118536,210.86068153381348,0.23242449760437012
output25.ts,5734564,208.2897424697876,0.22333645820617676
output2.ts,5244072,210.08046865463257,0.23039627075195312
output26.ts,5520808,207.885479927063,0.3928823471069336
output14.ts,10756984,213.27999830245972,0.3963024616241455
