video,size[kb],exec_time[s],model_load[s]
output17.ts,3526128,135.79965829849243,0.3411135673522949
output15.ts,10896480,134.37573909759521,0.3375985622406006
output23.ts,5042724,135.8905792236328,0.32569289207458496
output26.ts,5520808,135.4104518890381,0.3128321170806885
output28.ts,6103044,136.1946940422058,0.3275570869445801
output21.ts,4236392,136.3865613937378,0.7037966251373291
output12.ts,8384424,135.49498319625854,0.33326005935668945
output1.ts,5095740,134.87828969955444,0.3224198818206787
output13.ts,10118536,137.49265670776367,0.3444960117340088
output22.ts,4866756,136.54637336730957,0.3111305236816406
output10.ts,8562272,135.09182929992676,0.31166839599609375
output2.ts,5244072,136.48052215576172,0.29676198959350586
output5.ts,6972920,136.88428401947021,0.34726405143737793
output9.ts,8634464,135.59393882751465,0.3013155460357666
output18.ts,3497928,137.35628128051758,0.315748929977417
output27.ts,6162828,134.52589511871338,0.30620884895324707
output8.ts,8307908,134.06102657318115,0.3200101852416992
output25.ts,5734564,136.41889095306396,0.32338643074035645
output29.ts,6691296,137.28808164596558,0.31598353385925293
output11.ts,8662288,138.3980393409729,1.5373008251190186
output20.ts,4647736,135.7499599456787,0.2902839183807373
output24.ts,5454444,136.8896484375,0.3104057312011719
output7.ts,8027976,136.4670991897583,0.312969446182251
output4.ts,5974076,135.91395616531372,0.3074686527252197
output14.ts,10756984,137.61087656021118,0.29288768768310547
output16.ts,4495832,134.89285707473755,0.2937614917755127
output19.ts,3990112,135.6204867362976,0.33181023597717285
output6.ts,7490108,135.1113796234131,0.33588242530822754
