video,size[kb],exec_time[s],model_load[s]
output8.ts,8307908,209.72013473510742,0.30977678298950195
output1.ts,5095740,204.26305532455444,0.2714653015136719
output7.ts,8027976,199.32448863983154,0.4405384063720703
output23.ts,5042724,207.61308670043945,0.20560026168823242
output22.ts,4866756,203.78519296646118,0.2551603317260742
output29.ts,6691296,195.12258768081665,0.21752023696899414
output24.ts,5454444,199.1955041885376,0.25957441329956055
output12.ts,8384424,202.1563172340393,0.24477553367614746
output28.ts,6103044,201.68354511260986,0.19576215744018555
output18.ts,3497928,190.93425273895264,0.19405770301818848
output20.ts,4647736,200.39761066436768,0.18939638137817383
output17.ts,3526128,194.12366151809692,0.19511151313781738
output27.ts,6162828,198.9894151687622,0.19259047508239746
output19.ts,3990112,197.69235849380493,0.1932816505432129
output21.ts,4236392,204.36681509017944,0.19868946075439453
output10.ts,8562272,202.5956630706787,0.19702386856079102
output5.ts,6972920,198.55356216430664,0.19994473457336426
output16.ts,4495832,200.3970503807068,0.19745898246765137
output4.ts,5974076,200.8095622062683,0.19530177116394043
output15.ts,10896480,195.8326816558838,0.19579339027404785
output9.ts,8634464,191.4325475692749,0.19661736488342285
output6.ts,7490108,190.0870680809021,0.20218324661254883
output11.ts,8662288,193.8679814338684,0.20096039772033691
output13.ts,10118536,190.61673879623413,0.18407773971557617
output25.ts,5734564,197.96531200408936,0.19661450386047363
output2.ts,5244072,193.4575080871582,0.19515442848205566
output26.ts,5520808,199.7275710105896,0.1997087001800537
output14.ts,10756984,197.70373106002808,0.19338321685791016
